Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000187908,DMBT1,Gene Expression,0.35685823245057674,0.0,0.0,196,0.3796109496615065,57
ENSG00000144063,MALL,Gene Expression,0.3562964319789161,0.0,0.0,611,1.37325930913874,104
ENSG00000130176,CNN1,Gene Expression,0.35188351942774243,0.0,0.0,243,0.6405821682381937,82
ENSG00000172935,MRGPRF,Gene Expression,0.3505225770983086,0.0,0.0,147,0.3604382067441694,63
ENSG00000163430,FSTL1,Gene Expression,0.3489068723759932,0.0,0.0,296,0.7493531945278458,99
ENSG00000143995,MEIS1,Gene Expression,0.34720233330534367,0.0,0.0,145,0.35568320632085204,65
ENSG00000142089,IFITM3,Gene Expression,0.34483740615618236,0.0,0.0,186,0.43728285071100353,82
ENSG00000173702,MUC13,Gene Expression,0.34302296612080524,0.0,0.0,259,0.6170355885808173,60
ENSG00000084207,GSTP1,Gene Expression,0.3405431975475358,0.0,0.0,1704,4.7990929413693815,208
ENSG00000166147,FBN1,Gene Expression,0.33440186952637463,0.0,0.0,338,0.9833195455789854,108
ENSG00000138080,EMILIN1,Gene Expression,0.33386073729077703,0.0,0.0,334,0.9231718072606404,99
ENSG00000162896,PIGR,Gene Expression,0.3322511374177594,0.0,0.0,437,1.2458300005927934,98
ENSG00000041982,TNC,Gene Expression,0.32990155134592886,0.0,0.0,457,1.811686541395934,126
ENSG00000084636,COL16A1,Gene Expression,0.3289514452859425,0.0,0.0,360,1.1219508004269412,106
ENSG00000139329,LUM,Gene Expression,0.3283798380931577,0.0,0.0,311,0.9231124337624811,91
ENSG00000079385,CEACAM1,Gene Expression,0.32804904470394364,0.0,0.0,131,0.2816496102396892,37
ENSG00000133142,TCEAL4,Gene Expression,0.32752075628869104,0.0,0.0,211,0.5021307897487651,73
ENSG00000196923,PDLIM7,Gene Expression,0.3266617201121079,0.0,0.0,255,0.6702871321608227,89
ENSG00000105323,HNRNPUL1,Gene Expression,0.3252175510993552,0.0,0.0,1328,4.144127163041737,200
ENSG00000181885,CLDN7,Gene Expression,0.3247034906248265,0.0,0.0,442,0.9491941423721229,85
ENSG00000050628,PTGER3,Gene Expression,0.3238226505117299,0.0,0.0,134,0.35198161896271357,62
ENSG00000171431,KRT20,Gene Expression,0.3234600473117359,0.0,0.0,502,1.0149538359629127,62
ENSG00000169554,ZEB2,Gene Expression,0.3219447683568055,0.0,0.0,163,0.4157899792214076,71
ENSG00000135052,GOLM1,Gene Expression,0.32037303976315756,0.0,0.0,925,2.287651006757715,137
ENSG00000136859,ANGPTL2,Gene Expression,0.3185441517532034,0.0,0.0,193,0.5063951182475107,75
ENSG00000185630,PBX1,Gene Expression,0.31819380608253267,0.0,0.0,348,1.0226451164021515,109
ENSG00000167642,SPINT2,Gene Expression,0.3180633793252723,0.0,0.0,535,1.092330334580155,99
ENSG00000163993,S100P,Gene Expression,0.31787629762354436,0.0,0.0,454,0.8420184928766271,81
ENSG00000160181,TFF2,Gene Expression,0.31725467249290007,0.0,0.0,230,0.476874640806516,46
ENSG00000079308,TNS1,Gene Expression,0.3138999332992322,0.0,0.0,279,0.6954410461344188,87
ENSG00000169994,MYO7B,Gene Expression,0.3125942157707375,0.0,0.0,466,1.3169808838185517,105
ENSG00000035862,TIMP2,Gene Expression,0.3125118068901765,0.0,0.0,303,0.6917486834350031,91
ENSG00000142273,CBLC,Gene Expression,0.31110754276901137,0.0,0.0,487,1.1607824057865248,100
ENSG00000159399,HK2,Gene Expression,0.3096445347414161,0.0,0.0,151,0.3508034069561539,49
ENSG00000115884,SDC1,Gene Expression,0.305060585666277,0.0,0.0,255,0.5626504997318952,89
ENSG00000163346,PBXIP1,Gene Expression,0.30230417573361507,0.0,0.0,339,0.9994903767616229,113
ENSG00000035403,VCL,Gene Expression,0.3005183591676629,0.0,0.0,180,0.4733434512998829,76
ENSG00000154553,PDLIM3,Gene Expression,0.2991405355221623,0.0,0.0,280,0.805223308681187,96
ENSG00000135940,COX5B,Gene Expression,0.298484680642252,0.0,0.0,974,2.6751340941813595,165
ENSG00000165949,IFI27,Gene Expression,0.296191270168972,0.0,0.0,823,1.7539729225823197,122
ENSG00000187239,FNBP1,Gene Expression,0.2951477294132332,0.0,0.0,137,0.36440350141479133,67
ENSG00000072163,LIMS2,Gene Expression,0.29352133595492447,0.0,0.0,567,1.859073489107635,136
ENSG00000156113,KCNMA1,Gene Expression,0.2930671945328254,0.0,0.0,216,0.6085878104301239,88
ENSG00000106809,OGN,Gene Expression,0.2912868382479072,0.0,0.0,210,0.6035864652403024,80
ENSG00000168497,CAVIN2,Gene Expression,0.2888938747915402,0.0,0.0,88,0.19302912340860415,43
ENSG00000110651,CD81,Gene Expression,0.28791624668631544,0.0,0.0,279,0.7460056920170505,102
ENSG00000197747,S100A10,Gene Expression,0.2871887665075221,0.0,0.0,1231,2.913809333102323,166
ENSG00000169851,PCDH7,Gene Expression,0.28532720997601757,0.0,0.0,256,0.7644928476509392,90
ENSG00000185052,SLC24A3,Gene Expression,0.28518628523638795,0.0,0.0,86,0.19317743138470103,46
ENSG00000158125,XDH,Gene Expression,0.2828664867105783,0.0,0.0,197,0.4502376876098738,61
